,Title,Price,Rating,Image,Link
0,"POCO C50 (Royal Blue, 32 GB)","₹5,749",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70,https://www.flipkart.com/poco-c50-royal-blue-32-gb/p/itma43af9d14952e?pid=MOBGK8WZUTGDEZFA&lid=LSTMOBGK8WZUTGDEZFAWKBDLT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGK8WZUTGDEZFA.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
1,"POCO C50 (Country Green, 32 GB)","₹5,749",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70,https://www.flipkart.com/poco-c50-country-green-32-gb/p/itm0b3d5144d9c22?pid=MOBGK8WZYEJ3G5AA&lid=LSTMOBGK8WZYEJ3G5AAMF47BF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGK8WZYEJ3G5AA.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
2,"POCO C55 (Forest Green, 64 GB)","₹7,749",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70,https://www.flipkart.com/poco-c55-forest-green-64-gb/p/itm8b99ef9bd674c?pid=MOBGMXSWFYZYWKTD&lid=LSTMOBGMXSWFYZYWKTDWKED3U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGMXSWFYZYWKTD.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
3,"POCO C55 (Power Black, 64 GB)","₹7,749",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70,https://www.flipkart.com/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGMXSW9PHJVQCA.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
4,"POCO M4 5G (Cool Blue, 64 GB)","₹11,999",4.2,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/i/p/o/-original-imagdu8j9vxscfdh.jpeg?q=70,https://www.flipkart.com/poco-m4-5g-cool-blue-64-gb/p/itm7b27dd2f5da7e?pid=MOBGDRGPD6YGVHXZ&lid=LSTMOBGDRGPD6YGVHXZBYCJDP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGDRGPD6YGVHXZ.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
5,"POCO C51 (Royal Blue, 64 GB)","₹6,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70,https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89PTMGT86&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGZCQFCWNDK89P.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
6,"Infinix Smart 7 HD (Green Apple, 64 GB)","₹6,199",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70,https://www.flipkart.com/infinix-smart-7-hd-green-apple-64-gb/p/itmae6d492c1083e?pid=MOBGZNM9FZAVPXAA&lid=LSTMOBGZNM9FZAVPXAATCK5H1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGZNM9FZAVPXAA.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
7,"POCO C51 (Power Black, 64 GB)","₹6,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/o/t/a/c51-mzb0e6din-poco-original-imagzdzzraqzsrzc.jpeg?q=70,https://www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGZCQFWM5HZHXX.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
8,"MOTOROLA e13 (Cosmic Black, 64 GB)","₹7,299",4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70,https://www.flipkart.com/motorola-e13-cosmic-black-64-gb/p/itm2cd6a5ea435eb?pid=MOBGKHNBBMSUE94W&lid=LSTMOBGKHNBBMSUE94WYZAYPS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGKHNBBMSUE94W.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
9,"Infinix SMART 7 (Night Black, 64 GB)","₹7,299",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70,https://www.flipkart.com/infinix-smart-7-night-black-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2T7W2UPB9&lid=LSTMOBGMTW2T7W2UPB9VAZZSU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGMTW2T7W2UPB9.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
10,"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,299",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70,https://www.flipkart.com/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGMTW2HFCMQY35.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
11,"Infinix SMART 7 (Azure Blue, 64 GB)","₹7,299",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70,https://www.flipkart.com/infinix-smart-7-azure-blue-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2WYG2A2FM&lid=LSTMOBGMTW2WYG2A2FMSRLXTO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGMTW2WYG2A2FM.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
12,"POCO C55 (Cool Blue, 128 GB)","₹8,999",4.1,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70,https://www.flipkart.com/poco-c55-cool-blue-128-gb/p/itm26aca9fd143ba?pid=MOBGMXSWJHRVUWFE&lid=LSTMOBGMXSWJHRVUWFESKZGEW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGMXSWJHRVUWFE.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
13,"Infinix HOT 30i (Mirror Black, 128 GB)","₹8,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/4/q/v/-original-imagz3curry7jhsy.jpeg?q=70,https://www.flipkart.com/infinix-hot-30i-mirror-black-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2U9WQFJZX&lid=LSTMOBGNPK2U9WQFJZXOPAJY7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGNPK2U9WQFJZX.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
14,"Infinix HOT 30i (Marigold, 128 GB)","₹8,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/w/x/hot-30i-x669c-infinix-original-imagzyfawjmmcgpg.jpeg?q=70,https://www.flipkart.com/infinix-hot-30i-marigold-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2GNWPUGWW&lid=LSTMOBGNPK2GNWPUGWWWTPN01&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGNPK2GNWPUGWW.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
15,"Infinix HOT 30i (Glacier Blue, 128 GB)","₹8,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/v/b/-original-imagz3cuzzsyh8ud.jpeg?q=70,https://www.flipkart.com/infinix-hot-30i-glacier-blue-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2ZTGZBRXE&lid=LSTMOBGNPK2ZTGZBRXEAFQ5YT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGNPK2ZTGZBRXE.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
16,"Infinix HOT 30i (Mirror Black, 64 GB)","₹7,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/4/q/v/-original-imagz3curry7jhsy.jpeg?q=70,https://www.flipkart.com/infinix-hot-30i-mirror-black-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2QRUEBEHG&lid=LSTMOBGNPK2QRUEBEHGKBH4RF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGNPK2QRUEBEHG.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
17,"Infinix HOT 30i (Diamond White, 128 GB)","₹8,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/3/4/-original-imagz3cuyhmc45pc.jpeg?q=70,https://www.flipkart.com/infinix-hot-30i-diamond-white-128-gb/p/itm8b42a43b35895?pid=MOBGNPK29ZWFHGGD&lid=LSTMOBGNPK29ZWFHGGDKTDNDX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGNPK29ZWFHGGD.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
18,"Infinix HOT 30i (Diamond White, 64 GB)","₹7,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/3/4/-original-imagz3cuyhmc45pc.jpeg?q=70,https://www.flipkart.com/infinix-hot-30i-diamond-white-64-gb/p/itm8b42a43b35895?pid=MOBGNPK4PTXGANTP&lid=LSTMOBGNPK4PTXGANTPXFOPAU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGNPK4PTXGANTP.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
19,"Infinix HOT 30i (Marigold, 64 GB)","₹7,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/w/x/hot-30i-x669c-infinix-original-imagzyfawjmmcgpg.jpeg?q=70,https://www.flipkart.com/infinix-hot-30i-marigold-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2KCH77U28&lid=LSTMOBGNPK2KCH77U289VSAZE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGNPK2KCH77U28.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
20,"Infinix HOT 30i (Glacier Blue, 64 GB)","₹7,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/v/b/-original-imagz3cuzzsyh8ud.jpeg?q=70,https://www.flipkart.com/infinix-hot-30i-glacier-blue-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2BBNPWJYR&lid=LSTMOBGNPK2BBNPWJYRIQDVWM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGNPK2BBNPWJYR.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
21,"REDMI A1+ (Light Blue, 32 GB)","₹6,599",4.1,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/j/r/-original-imagjyhyaf7tdxnc.jpeg?q=70,https://www.flipkart.com/redmi-a1-light-blue-32-gb/p/itmae4738195e03c?pid=MOBGGYBAGFD4H23B&lid=LSTMOBGGYBAGFD4H23BT8EH5A&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGGYBAGFD4H23B.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
22,"MOTOROLA G32 (Mineral Gray, 128 GB)","₹11,999",4.1,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/j/j/-original-imagnvvwvzyhfvx9.jpeg?q=70,https://www.flipkart.com/motorola-g32-mineral-gray-128-gb/p/itm6061450cb40ac?pid=MOBGM2EHJUTMXMFV&lid=LSTMOBGM2EHJUTMXMFVL5MPKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGM2EHJUTMXMFV.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
23,"POCO M4 5G (Power Black, 64 GB)","₹11,999",4.2,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/i/1/y/-original-imagdu8gtefvchbn.jpeg?q=70,https://www.flipkart.com/poco-m4-5g-power-black-64-gb/p/itmdca739218a8a0?pid=MOBGDRGPZTSHNQ5H&lid=LSTMOBGDRGPZTSHNQ5HK2U5VI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGDRGPZTSHNQ5H.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
